,metric,value,step
314,Loss/train,0.17617279291152954,3697376.0
315,Loss/train,0.16711409389972687,3700576.0
316,Loss/train,0.13979780673980713,3703776.0
317,Loss/train,0.14166711270809174,3706976.0
318,Loss/train,0.19845573604106903,3710176.0
319,Loss/train,0.1542961448431015,3713376.0
320,Loss/train,0.14861847460269928,3716576.0
321,Loss/train,0.12677468359470367,3719776.0
322,Loss/train,0.13992571830749512,3722976.0
323,Loss/train,0.16468365490436554,3726176.0
324,Loss/train,0.156168133020401,3729376.0
325,Loss/train,0.18842165172100067,3732576.0
326,Loss/train,0.15577632188796997,3735776.0
327,Loss/train,0.19404973089694977,3738976.0
328,Loss/train,0.18019379675388336,3742176.0
329,Loss/train,0.1486346423625946,3745376.0
330,Loss/train,0.1333930641412735,3748576.0
331,Loss/train,0.18920738995075226,3751776.0
332,Loss/train,0.16414612531661987,3754976.0
333,Loss/train,0.2075878530740738,3758176.0
334,Loss/train,0.15429271757602692,3761376.0
335,Loss/train,0.14900340139865875,3764576.0
336,Loss/train,0.19801054894924164,3767776.0
337,Loss/train,0.15963415801525116,3770976.0
338,Loss/train,0.1674063503742218,3774176.0
339,Loss/train,0.15976667404174805,3777376.0
340,Loss/train,0.15850788354873657,3780576.0
341,Loss/train,0.1829005926847458,3783776.0
342,Loss/train,0.1609926074743271,3786976.0
343,Loss/train,0.1440817266702652,3790176.0
344,Loss/train,0.16978147625923157,3793376.0
345,Loss/train,0.17256078124046326,3796576.0
346,Loss/train,0.1671505719423294,3799776.0
347,Loss/train,0.15615873038768768,3802976.0
348,Loss/train,0.17005287110805511,3806176.0
349,Loss/train,0.17668846249580383,3809376.0
350,Loss/train,0.15040084719657898,3812576.0
351,Loss/train,0.16425821185112,3815776.0
352,Loss/train,0.21515712141990662,3818976.0
353,Loss/train,0.19868722558021545,3822176.0
354,Loss/train,0.21744117140769958,3825376.0
355,Loss/train,0.14849065244197845,3828576.0
356,Loss/train,0.14522255957126617,3831776.0
357,Loss/train,0.25946733355522156,3834976.0
358,Loss/train,0.15742544829845428,3838176.0
359,Loss/train,0.19090941548347473,3841376.0
360,Loss/train,0.2424284964799881,3844576.0
361,Loss/train,0.15735889971256256,3847776.0
362,Loss/train,0.18239335715770721,3850976.0
363,Loss/train,0.2103666514158249,3854176.0
364,Loss/train,0.1540951430797577,3857376.0
365,Loss/train,0.16942240297794342,3860576.0
366,Loss/train,0.12818588316440582,3863776.0
367,Loss/train,0.16713005304336548,3866976.0
368,Loss/train,0.14493685960769653,3870176.0
369,Loss/train,0.13763336837291718,3873376.0
370,Loss/train,0.1837257295846939,3876576.0
371,Loss/train,0.1595807522535324,3879776.0
372,Loss/train,0.18701888620853424,3882976.0
373,Loss/train,0.1547979861497879,3886176.0
374,Loss/train,0.14821834862232208,3889376.0
375,Loss/train,0.14540646970272064,3892576.0
376,Loss/train,0.2120589017868042,3895776.0
